Wall time,Step,Value
1538669050.9809403,18,14.268665313720703
1538669095.4429984,42,14.165122985839844
1538669100.8518083,45,14.320449829101562
1538669150.299364,71,14.384363174438477
1538669193.0694394,94,14.273862838745117
1538669312.9701123,158,14.269991874694824
1538669329.5375273,167,14.164254188537598
1538669443.5050368,229,14.403356552124023
1538669453.000823,234,14.144482612609863
1538669492.1689713,255,14.482636451721191
1538669526.0233877,273,14.438986778259277
1538669591.5205166,308,14.2744779586792
1538669595.243668,310,14.391146659851074
1538669610.2107847,318,13.869153022766113
1538669664.2171361,347,14.007063865661621
1538669701.7514536,367,13.959793090820312
1538669802.002433,421,14.012224197387695
1538669900.1026337,460,13.314374923706055
1538669925.4671915,474,13.484049797058105
1538670040.704065,536,12.589752197265625
1538670090.915833,563,12.74057674407959
1538670120.419683,579,12.301932334899902
1538670133.381765,586,12.344611167907715
1538670135.2697754,587,12.07723331451416
1538670222.1869497,634,11.784594535827637
1538670246.1384892,647,11.977982521057129
1538670271.926101,661,11.80240249633789
1538670290.4556642,671,11.504319190979004
1538670369.8870597,714,11.64499282836914
1538670384.5604007,722,11.336674690246582
1538670463.0532815,765,11.124767303466797
1538670470.466307,769,11.113938331604004
1538670474.1505208,771,10.812178611755371
1538670500.1161845,785,11.093206405639648
1538670503.915667,787,10.916776657104492
1538670531.412658,802,10.868474006652832
1538670542.2607458,808,10.75703239440918
1538670593.8018904,836,10.322497367858887
1538670822.0681617,945,10.224541664123535
1538670870.3046992,971,10.148269653320312
1538670872.0886497,972,9.98939323425293
1538670883.1458576,978,10.364828109741211
1538670928.0732565,1002,10.053482055664062
1538670933.6688051,1005,10.314698219299316
1538670950.6712625,1014,9.995098114013672
1538671042.1309247,1063,9.876948356628418
1538671047.7076924,1066,9.954452514648438
1538671096.9974973,1093,9.591425895690918
1538671107.666637,1099,9.869455337524414
1538671116.644122,1104,9.772638320922852
1538671211.549955,1156,9.372309684753418
1538671220.6478732,1161,9.620806694030762
1538671222.465191,1162,9.510628700256348
1538671255.3459113,1180,9.496173858642578
1538671279.609412,1193,9.46056079864502
1538671374.1119132,1244,9.259806632995605
1538671406.128517,1261,9.432188034057617
1538671507.0294318,1316,8.953909873962402
1538671514.2374887,1319,9.098862648010254
1538671564.7705572,1333,9.040282249450684
1538671571.9283023,1337,9.164847373962402
1538671659.9350379,1385,8.567334175109863
1538671673.3928573,1392,9.073498725891113
1538671713.9007826,1414,8.932619094848633
1538671735.9818068,1426,9.010172843933105
1538671754.400081,1436,8.710243225097656
1538671809.831533,1466,8.942577362060547
1538671830.0837817,1477,8.595622062683105
1538671856.3088653,1491,8.695834159851074
1538671914.9403582,1523,8.751855850219727
1538671968.1502647,1552,8.801704406738281
1538671997.78219,1568,8.595577239990234
1538672027.7289662,1584,8.518365859985352
1538672035.0805917,1588,8.802628517150879
1538672066.7191234,1605,8.65811824798584
1538672131.1279888,1640,8.430736541748047
1538672208.1579406,1682,8.566926002502441
1538672224.7580626,1691,8.341312408447266
1538672257.6983168,1709,8.723411560058594
1538672274.3301268,1718,8.816278457641602
1538672300.1712248,1732,8.391743659973145
1538672303.9116402,1734,8.512859344482422
1538672309.4622674,1737,8.310471534729004
1538672416.4206147,1781,8.615241050720215
1538672498.8809597,1826,8.388731956481934
1538672532.3658397,1844,8.357638359069824
1538672548.9424558,1853,8.634881973266602
1538672573.0500135,1866,8.655967712402344
1538672578.560762,1869,8.196273803710938
1538672593.481042,1877,8.310093879699707
1538672667.2186546,1917,8.207252502441406
1538672699.186412,1934,8.39932632446289
1538672717.531302,1944,8.594443321228027
1538672723.054095,1947,8.769025802612305
1538672823.521926,2001,8.656871795654297
1538672845.929393,2013,8.532156944274902
1538672888.3433805,2036,8.189913749694824
1538672963.615384,2077,8.343385696411133
1538672978.3243387,2085,8.322442054748535
1538672985.7825053,2089,8.630777359008789
1538672998.9570785,2096,8.666871070861816
1538673096.4286027,2149,8.606678009033203
1538673109.0041091,2156,8.713569641113281
1538673165.6615639,2187,8.051833152770996
1538673172.8488164,2191,8.286404609680176
1538673188.6137571,2199,8.267518043518066
1538673235.9237301,2211,8.217422485351562
1538673272.3797557,2231,8.117131233215332
1538673281.6695156,2236,8.025498390197754
1538673283.4288197,2237,8.362095832824707
1538673320.625979,2257,8.23367977142334
1538673329.887369,2262,8.028168678283691
1538673413.2210429,2307,8.31639575958252
1538673435.5394454,2319,7.913239479064941
1538673483.7544522,2345,8.132400512695312
1538673500.9101932,2354,8.452980041503906
1538673565.9225678,2389,8.535750389099121
1538673567.6941884,2390,8.83806324005127
1538673571.312599,2392,8.40731143951416
1538673653.4791205,2436,8.266144752502441
1538673685.0627213,2453,8.059503555297852
1538673688.8375862,2455,8.239046096801758
1538673698.1798606,2460,8.216165542602539
1538673744.1013417,2485,8.318755149841309
1538673745.8794658,2486,8.220640182495117
1538673764.0799716,2496,8.348257064819336
1538673767.797529,2498,8.222833633422852
1538673777.015851,2503,8.16384506225586
1538673803.0649126,2517,7.982792377471924
1538673814.2139456,2523,8.413618087768555
1538673831.1254356,2532,8.002562522888184
1538673858.5598545,2547,8.22305679321289
1538673869.7669823,2553,7.7883453369140625
1538674140.2836995,2685,8.237727165222168
1538674173.4619415,2703,8.325345993041992
1538674241.6894343,2740,7.999871253967285
1538674267.6797163,2754,7.9676690101623535
1538674332.6435556,2789,8.10836124420166
1538674528.0785713,2896,8.513158798217773
1538674658.9078784,2967,8.197355270385742
1538674673.7804334,2975,7.693924903869629
1538674740.5785823,3011,8.163187026977539
1538674790.097258,3038,8.277568817138672
1538674795.4946783,3041,7.770634174346924
1538674926.6519368,3099,7.969127178192139
1538675040.333311,3161,7.745386600494385
1538675102.0830264,3195,8.111043930053711
1538675103.868695,3196,8.242636680603027
1538675166.0093477,3230,7.819080352783203
1538675184.2165468,3240,7.69331693649292
1538675191.3841255,3244,8.362125396728516
1538675194.918602,3246,8.421853065490723
1538675196.6904147,3247,8.236920356750488
1538675303.3609138,3305,8.04727840423584
1538675375.3862026,3345,7.792413711547852
1538675432.9803486,3376,8.307114601135254
1538675483.049296,3403,7.882842063903809
1538675492.3553731,3408,8.299423217773438
1538675531.5619977,3430,8.244004249572754
1538675565.931285,3449,8.28518295288086
1538675592.9470978,3464,8.262331008911133
1538675621.964287,3480,8.497499465942383
1538675867.3538578,3600,7.98902702331543
1538675900.7732,3618,8.28055477142334
1538675904.4123323,3620,8.070931434631348
1538675969.9061904,3656,7.965149402618408
1538675994.8357542,3670,8.009746551513672
1538676097.3638968,3726,8.11398696899414
1538676104.8570325,3730,8.105485916137695
1538676125.1201162,3741,7.698004722595215
1538676221.1745408,3793,7.748196601867676
1538676259.1309872,3814,8.159256935119629
1538676268.3951938,3819,7.4190568923950195
1538676272.035463,3821,7.911000728607178
1538676290.3059657,3831,7.925257205963135
1538676350.3971531,3864,7.996838569641113
1538676372.420256,3876,8.262261390686035
1538676467.803238,3928,8.057670593261719
1538676520.8385282,3956,7.638638973236084
1538676595.0659378,3984,7.903897285461426
1538676664.0141675,4022,7.955146789550781
1538676684.233928,4033,7.821425437927246
1538676689.7162333,4036,8.19372272491455
1538676793.3136473,4093,8.049650192260742
1538676802.4390924,4098,7.602422714233398
1538676821.943461,4109,7.737323760986328
1538676954.2187295,4182,7.851369857788086
1538676975.57439,4194,8.210229873657227
1538676979.0771594,4196,7.913917541503906
1538676988.1371317,4201,8.345308303833008
1538676989.9016376,4202,7.7895097732543945
1538677036.0640204,4227,7.885349750518799
1538677044.9989967,4232,7.683306694030762
1538677050.643558,4235,7.5697526931762695
1538677101.6984463,4263,7.784824371337891
1538677107.3862236,4266,7.898561000823975
1538677177.2923188,4304,7.985757350921631
1538677201.1512902,4317,7.795490741729736
1538677204.70925,4319,7.6201863288879395
1538677377.8446848,4400,7.5475568771362305
1538677438.063803,4433,7.864180088043213
1538677547.0275862,4492,8.115674018859863
1538677577.3695831,4509,8.25412654876709
