Wall time,Step,Value
1538905165.3872097,474,4.175409317016602
1538905166.4904206,586,5.373715400695801
1538905187.2996411,2486,3.1838903427124023
1538905209.726218,4492,5.954014778137207
1538905233.3325195,6711,4.946614742279053
1538905241.688065,7463,5.378046035766602
1538905261.195324,9260,2.9745397567749023
1538905263.3686054,9468,4.769068241119385
1538905279.393054,10966,4.116235733032227
1538905290.5749967,11969,4.492199897766113
1538905333.2782774,16116,2.805539846420288
1538905374.8932464,20062,2.8766860961914062
1538905379.6353467,20539,5.362454414367676
1538905397.7094865,22330,3.0898895263671875
1538905422.238862,24727,3.068633794784546
1538905427.7492642,25253,3.388582706451416
1538905487.6362326,30612,3.4944257736206055
1538905500.9019434,31936,2.463747501373291
1538905513.7451968,33181,3.349997043609619
1538905519.9718504,33785,2.6385324001312256
1538905543.1161761,35953,3.127176284790039
1538905550.7227526,36629,3.3103814125061035
1538905550.878797,36659,4.492775917053223
1538905563.0702217,37764,3.1752045154571533
1538905564.3264194,37876,2.903735876083374
1538905574.6804812,38840,4.648138999938965
1538905625.331294,43639,4.3370513916015625
1538905629.012684,43993,2.4664604663848877
1538905630.988283,44200,3.3912253379821777
1538905642.7163706,45372,3.3106689453125
1538905653.3914065,46413,2.1892693042755127
1538905722.7014627,52906,3.950437068939209
1538905765.9610996,56521,2.728851079940796
1538905790.8048494,58746,2.8503551483154297
1538905805.5664816,60179,2.348362922668457
1538905808.5215542,60475,2.666198253631592
1538905825.5280871,62139,3.5273313522338867
1538905851.465108,64521,3.6528072357177734
1538905863.3081856,65643,4.113847732543945
1538905876.0980766,66787,3.3237385749816895
1538905878.8881478,67021,3.3098697662353516
1538905883.2160835,67440,2.11122727394104
1538905917.5315146,70656,5.904135227203369
1538905926.2405992,71428,6.538774490356445
1538905932.0447276,71957,2.741800308227539
1538905943.2388613,73009,2.9425241947174072
1538906024.0426512,80390,3.6060986518859863
1538906026.5271993,80613,3.4443447589874268
1538906072.063422,84601,2.981050491333008
1538906077.0873384,85089,3.5326855182647705
1538906094.9796045,86780,3.758000373840332
1538906095.881108,86865,3.3646273612976074
1538906101.363609,87393,3.44047212600708
1538906108.97239,88137,2.8370089530944824
1538906121.5401824,89347,4.12790584564209
1538906121.8098693,89363,4.266517639160156
1538906128.1014807,89973,2.9519522190093994
1538906130.9572887,90237,2.6430225372314453
1538906145.9192452,91647,3.326511859893799
1538906150.9771857,92120,2.46358585357666
1538906169.3080816,93901,3.4871952533721924
1538906186.1751513,95480,3.461987018585205
1538906194.8099523,96301,4.0974650382995605
1538906217.280781,98474,4.515621185302734
1538906232.3818114,99884,2.3692729473114014
1538906242.8370004,100858,2.121699810028076
1538906253.8999765,101943,3.1535024642944336
1538906265.9660633,103001,2.539891004562378
1538906280.9390922,104334,4.231684684753418
1538906286.899047,104896,2.254429340362549
1538906296.3368092,105774,2.706578254699707
1538906319.6946192,107837,6.518608570098877
1538906327.8071008,108586,3.728679656982422
1538906356.815288,111323,2.076539993286133
1538906406.84057,115518,4.785382270812988
1538906422.279784,117047,2.9678423404693604
1538906428.5703058,117635,2.517446279525757
1538906434.68954,118190,2.946263313293457
1538906465.6573672,121192,2.569624185562134
1538906467.1199613,121332,8.854313850402832
1538906467.6378276,121403,3.1183369159698486
1538906471.9988582,121835,4.9325480461120605
1538906558.2041748,130071,4.261701583862305
1538906575.106437,131680,3.9041428565979004
1538906577.064107,131876,4.180286884307861
1538906604.2495477,134376,3.823972225189209
1538906604.3156812,134389,4.057559967041016
1538906605.1521113,134474,3.7540242671966553
1538906659.083721,139403,2.459143877029419
1538906659.5196087,139449,3.2846453189849854
1538906664.9098291,139975,3.1973936557769775
1538906665.6775904,140055,2.746105670928955
1538906677.2457268,140750,3.679213523864746
1538906679.752555,140989,4.328445911407471
1538906700.0577846,142892,3.3098649978637695
1538906713.9633644,144226,2.572092056274414
1538906714.4617326,144285,3.616304397583008
1538906739.675393,146696,2.2353577613830566
1538906782.077723,150758,4.051738739013672
1538906783.1525106,150863,3.7412452697753906
1538906784.979056,151042,5.29172420501709
1538906787.3031678,151276,4.696408271789551
1538906803.2333622,152766,2.202293872833252
1538906843.980035,156652,2.1324973106384277
1538906848.8399582,157130,4.076659202575684
1538906853.936702,157623,1.9095509052276611
1538906882.7794511,160252,2.2831404209136963
1538906910.9844813,162789,2.1272521018981934
1538906916.4540298,163296,3.4707560539245605
1538906930.554518,164622,2.7438037395477295
1538906939.3907006,165463,2.0502207279205322
1538906940.7511754,165597,3.089113235473633
1538906942.9299805,165800,2.346970558166504
1538906958.0820875,167234,2.670219659805298
1538906990.0560782,169963,3.7823879718780518
1538906992.3344376,170188,6.3856306076049805
1538907007.3064346,171669,4.937490940093994
1538907020.9278297,172972,2.494814395904541
1538907022.2083423,173093,3.485698938369751
1538907027.129037,173556,2.147503614425659
1538907038.5804534,174647,2.9360313415527344
1538907070.5742102,177777,2.1559579372406006
1538907079.2410808,178661,2.997615098953247
1538907079.7848837,178701,3.40016508102417
1538907085.0325632,179196,3.6622958183288574
1538907104.445476,181108,4.0618414878845215
1538907114.6876755,182087,4.637543678283691
1538907123.7538397,182949,3.598761796951294
1538907127.1580443,183271,3.016648292541504
1538907130.9821608,183598,3.0078978538513184
1538907146.2450833,185058,5.113012790679932
1538907158.310409,186232,2.6672208309173584
1538907167.5154445,187090,5.502101898193359
1538907167.9931033,187140,2.7407636642456055
1538907177.0777044,187943,3.3288631439208984
1538907203.2836514,190338,3.98393177986145
1538907223.6621997,192215,3.1079277992248535
1538907256.7937884,195297,4.093565940856934
1538907257.9827452,195400,1.9855172634124756
1538907260.501904,195619,4.779043197631836
1538907272.4774559,196726,3.1958837509155273
1538907305.2282197,199287,3.6081058979034424
1538907315.0326939,200211,4.148995399475098
1538907327.8830311,201401,2.6048781871795654
1538907378.123804,206110,2.303611993789673
1538907394.49252,207609,2.6028616428375244
1538907406.577731,208748,3.348924160003662
1538907408.4664617,208934,2.3791093826293945
1538907419.5269773,209988,4.0521674156188965
1538907421.6932206,210191,2.3097639083862305
1538907480.7402582,215953,4.728217124938965
1538907481.591362,216023,5.497997283935547
1538907481.8349302,216052,4.34814977645874
1538907500.814055,217867,3.938974142074585
1538907517.9212623,219514,5.498926639556885
1538907521.660002,219861,1.8754184246063232
1538907526.1099482,220265,4.562051773071289
1538907561.175725,223537,4.657937049865723
1538907575.5653882,224845,2.5467100143432617
1538907595.2032886,226247,3.421590566635132
1538907596.3741152,226345,3.5016942024230957
1538907596.497577,226357,2.074061870574951
1538907608.0790992,227411,1.9805965423583984
1538907629.2974925,229290,4.025076389312744
1538907649.1842003,231023,3.6426000595092773
1538907660.8103104,232060,6.247904300689697
1538907692.7445657,234917,3.2440342903137207
1538907696.3131192,235215,9.608108520507812
1538907726.9607358,238047,2.723026752471924
1538907733.2411342,238615,4.656031608581543
1538907741.8125184,239338,3.073828935623169
1538907750.053241,240094,3.2796683311462402
1538907764.8338053,241531,3.4322001934051514
1538907765.6723547,241629,3.884021520614624
1538907770.0648623,242064,1.9377210140228271
1538907772.78394,242341,2.3175060749053955
1538907813.2040415,246050,2.524933338165283
1538907828.0262184,247507,2.8461644649505615
1538907843.1031091,248960,5.14894962310791
1538907850.646907,249676,3.1133317947387695
1538907862.9901237,250869,3.074273109436035
1538907867.6517203,251319,3.5599849224090576
1538907872.4965687,251796,2.832193374633789
1538907875.433713,252066,2.282327651977539
1538907895.1785166,253439,2.532327651977539
1538907932.7959273,256945,3.006540298461914
1538907945.8067322,258207,2.2137770652770996
1538907947.4768808,258350,3.815469264984131
1538907955.293439,259111,4.109628200531006
1538907974.1840527,260953,3.2999134063720703
1538907990.0608442,262512,3.937544107437134
1538907991.0353081,262598,3.633622169494629
1538908007.842236,264212,2.5354278087615967
1538908022.5777714,265601,5.587245941162109
1538908023.524179,265694,2.774747133255005
1538908046.6895187,267897,2.3074545860290527
1538908054.9771295,268687,4.798185348510742
1538908075.3019342,270593,6.591702938079834
1538908078.3957276,270861,4.022378921508789
1538908080.4985662,271052,3.1907894611358643
1538908100.2448487,272938,5.074151515960693
1538908146.26392,277439,2.010500192642212
1538908161.1944962,278879,3.208367109298706
1538908162.7833116,279048,2.1129274368286133
1538908182.9140801,280904,3.5747170448303223
1538908222.9898775,284303,4.786355972290039
1538908228.7073605,284886,2.343618154525757
1538908235.2837317,285537,2.6317713260650635
1538908274.594932,289364,3.3712351322174072
1538908289.9588275,290816,4.527536392211914
1538908322.8352547,294001,6.379770755767822
1538908336.907778,295408,6.17592716217041
1538908338.680847,295573,2.8109569549560547
1538908352.6133885,296881,2.8966500759124756
1538908376.5038629,299168,5.383920192718506
1538908379.8646085,299485,4.460839748382568
1538908404.7489338,301829,3.8953018188476562
1538908412.3482938,302494,6.30841588973999
1538908428.3798327,304023,2.5735039710998535
1538908474.535215,308411,3.9330265522003174
1538908480.768091,309009,1.8189260959625244
1538908494.5755959,309916,2.5617218017578125
1538908513.0000114,311639,2.4930343627929688
1538908524.3708422,312755,3.445178747177124
1538908540.4459746,314291,3.050710439682007
1538908549.5693245,315169,4.930129528045654
1538908578.9556265,318006,2.8674893379211426
1538908583.0971298,318409,4.074322700500488
1538908587.1359854,318828,3.644829511642456
1538908590.0958061,319111,3.846500873565674
1538908593.8634026,319435,5.056146144866943
1538908599.1613646,319941,2.646538496017456
1538908613.64724,321383,4.070047378540039
1538908623.961958,322388,2.1628994941711426
1538908631.2458081,323049,1.9857524633407593
1538908644.621135,324304,3.0083529949188232
1538908649.069898,324689,2.216670513153076
1538908653.4277086,325062,7.065783977508545
1538908703.2266865,330047,3.1669068336486816
1538908706.1384413,330331,1.9857172966003418
1538908712.496642,330969,2.4627726078033447
1538908719.0992677,331638,2.556645393371582
1538908722.1513696,331949,3.899998426437378
1538908735.8239665,333257,4.477835655212402
1538908747.905041,334448,3.965465545654297
1538908767.7549067,336392,3.768954038619995
1538908795.9575026,338708,1.8346701860427856
1538908796.2255304,338736,3.7292752265930176
1538908797.7933853,338890,3.4268131256103516
1538908840.9667711,343065,3.468179702758789
1538908855.6030877,344503,4.1209492683410645
1538908855.7474957,344533,3.44268536567688
1538908857.5990417,344721,4.07797384262085
1538908863.4479203,345279,2.5588784217834473
1538908893.7820227,348184,2.061023235321045
1538908905.8093398,349354,3.38421368598938
1538908939.7069569,352628,3.6909663677215576
1538909006.2219605,358807,4.211851596832275
1538909012.526129,359382,3.026456117630005
1538909016.9915636,359790,3.1860721111297607
1538909067.0860703,364334,2.957105875015259
1538909072.1430614,364798,2.7290804386138916
1538909114.0977492,368316,4.362253189086914
1538909141.5805871,370837,2.9856064319610596
1538909150.848593,371727,4.088898181915283
1538909180.0845835,374387,2.294555425643921
1538909185.459035,374855,3.4545187950134277
1538909187.6865077,375051,2.466219186782837
1538909193.1911323,375549,3.055438756942749
1538909237.4141467,379734,4.71057653427124
1538909238.41308,379828,4.021107196807861
1538909244.66816,380381,5.178160190582275
1538909247.6949773,380647,3.7283341884613037
1538909271.3107412,382911,4.018192768096924
1538909297.8165793,385507,2.0391340255737305
1538909305.7739036,386271,4.136080741882324
1538909320.2374344,387646,12.643914222717285
1538909323.6094193,387982,3.4571666717529297
1538909340.6373792,389615,3.1107048988342285
1538909357.0681388,391221,4.993267059326172
1538909398.9393096,394913,2.595219612121582
1538909406.2773392,395606,2.285891532897949
1538909419.004732,396859,8.033053398132324
1538909425.6239884,397510,3.710371255874634
1538909429.9862719,397935,4.246398448944092
1538909432.7914627,398196,2.1800665855407715
1538909453.1485553,400198,2.782109498977661
1538909483.9073563,403110,3.021596670150757
1538909495.1893082,404201,3.725309133529663
1538909511.8456302,405847,2.8197972774505615
1538909529.3331041,407517,3.404287576675415
1538909568.3496964,411257,5.752009391784668
1538909577.127719,412076,3.925922393798828
1538909593.0772426,413610,2.6324691772460938
1538909608.1100874,415016,2.5088467597961426
1538909614.6988728,415636,3.0102081298828125
1538909619.5182095,416105,2.4342503547668457
1538909641.844617,418311,3.6157138347625732
1538909651.425904,419187,2.3612754344940186
1538909658.8981194,419868,2.893552303314209
1538909676.7891824,421531,1.9334403276443481
1538909692.2006726,422506,3.690657615661621
1538909706.3784502,423752,2.806964159011841
1538909720.095011,425036,3.02105975151062
1538909725.9816353,425618,4.099509239196777
1538909735.6130784,426575,3.2695329189300537
1538909740.6654406,427056,2.7890803813934326
