Wall time,Step,Value
1538660019.9709992,18,14.662551879882812
1538660029.9303212,42,14.417553901672363
1538660031.0586016,45,14.393242835998535
1538660041.8245478,71,14.31478500366211
1538660051.3977323,94,14.44106674194336
1538660077.931482,158,14.289082527160645
1538660081.292752,167,14.325878143310547
1538660105.1885803,229,14.36640739440918
1538660107.3025465,234,14.225398063659668
1538660116.3384273,255,14.04302978515625
1538660123.6080709,273,13.832929611206055
1538660137.2948592,308,13.442233085632324
1538660138.2635715,310,13.675067901611328
1538660141.4351304,318,13.856379508972168
1538660153.1551654,347,13.555160522460938
1538660160.6722393,367,13.217718124389648
1538660181.6254141,421,12.97844409942627
1538660205.815441,460,12.711578369140625
1538660211.8351731,474,12.2952299118042
1538660237.0854242,536,11.065360069274902
1538660247.6937916,563,10.728631019592285
1538660254.1593451,579,10.239005088806152
1538660256.8831608,586,10.120140075683594
1538660257.2466266,587,10.213075637817383
1538660275.4797072,634,10.489391326904297
1538660280.5503287,647,10.009102821350098
1538660286.0500624,661,9.600107192993164
1538660290.1229331,671,10.079851150512695
1538660307.3288996,714,9.702302932739258
1538660310.4479537,722,9.573609352111816
1538660328.2909594,765,9.49979019165039
1538660330.0077646,769,9.928513526916504
1538660330.951758,771,9.522737503051758
1538660336.4338975,785,9.538543701171875
1538660337.1336317,787,9.516453742980957
1538660343.0454485,802,9.178095817565918
1538660345.288255,808,9.05038070678711
1538660357.4715924,836,8.865743637084961
1538660407.934106,945,8.564029693603516
1538660418.6417487,971,8.102622032165527
1538660419.038105,972,8.125215530395508
1538660421.6314898,978,7.703490257263184
1538660431.1699114,1002,7.726932525634766
1538660432.4781063,1005,7.809593677520752
1538660436.445466,1014,8.095602989196777
1538660456.34226,1063,7.447729587554932
1538660457.8120434,1066,7.5013813972473145
1538660468.113565,1093,7.307015895843506
1538660470.642307,1099,7.494499683380127
1538660472.7451568,1104,7.699626922607422
1538660493.572389,1156,7.259379863739014
1538660495.7567196,1161,7.261531352996826
1538660496.1282296,1162,7.794266223907471
1538660503.8217976,1180,7.252574920654297
1538660509.3581393,1193,6.977208137512207
1538660530.4709084,1244,7.129996299743652
1538660537.5113187,1261,7.692418098449707
1538660560.1168363,1316,6.87605094909668
1538660562.7415667,1319,7.108320713043213
1538660574.238056,1333,7.287180423736572
1538660575.8153172,1337,6.602010250091553
1538660595.4349892,1385,6.65962028503418
1538660598.124504,1392,6.570353031158447
1538660607.260206,1414,6.728466987609863
1538660611.9240139,1426,6.322465419769287
1538660615.9484816,1436,6.396751880645752
1538660627.4594867,1466,6.386627197265625
1538660631.5190415,1477,6.1404032707214355
1538660636.9617279,1491,5.955738067626953
1538660649.1821625,1523,6.210121154785156
1538660660.0876298,1552,5.86406946182251
1538660666.2942886,1568,6.105830669403076
1538660672.0900214,1584,5.95220422744751
1538660673.753466,1588,6.245471477508545
1538660680.1021638,1605,6.2409772872924805
1538660693.6481392,1640,6.345115661621094
1538660709.742706,1682,5.636030197143555
1538660712.9384246,1691,6.035057544708252
1538660720.0226593,1709,6.136439323425293
1538660723.426652,1718,6.0707197189331055
1538660728.5897572,1732,5.405588626861572
1538660729.3275094,1734,5.698803901672363
1538660730.403523,1737,5.4751434326171875
1538660754.5270941,1781,5.696221351623535
1538660771.274738,1826,5.035453796386719
1538660778.1227047,1844,5.489738941192627
1538660781.6990397,1853,5.087084770202637
1538660786.4073026,1866,5.277231216430664
1538660787.6783395,1869,5.46577787399292
1538660790.666946,1877,5.062037944793701
1538660805.9596424,1917,4.905313491821289
1538660812.349493,1934,5.2083611488342285
1538660815.9981668,1944,4.644088268280029
1538660817.0220675,1947,5.0368523597717285
1538660837.4161658,2001,4.902109622955322
1538660841.7544198,2013,4.922824859619141
1538660850.9651198,2036,4.501715660095215
1538660866.3470864,2077,4.500913619995117
1538660869.2698793,2085,4.856144428253174
1538660870.8504226,2089,5.255453109741211
1538660873.6266434,2096,4.650938987731934
1538660894.1976836,2149,4.666443347930908
1538660896.7972624,2156,4.692537784576416
1538660908.568669,2187,4.365365505218506
1538660909.8817618,2191,4.461582183837891
1538660914.8036306,2199,4.288719654083252
1538660925.6509533,2211,4.605098247528076
1538660933.1164012,2231,4.354372501373291
1538660935.0732615,2236,4.783318996429443
1538660935.434291,2237,4.940408229827881
1538660943.0613914,2257,4.630858421325684
1538660944.8829076,2262,4.6001081466674805
1538660961.929512,2307,4.652503490447998
1538660966.5365303,2319,4.325651168823242
1538660976.2783797,2345,4.467227458953857
1538660979.8431818,2354,4.541378974914551
1538660992.981104,2389,4.476067543029785
1538660993.3733084,2390,4.381529331207275
1538660994.1876743,2392,4.552043914794922
1538661011.0411277,2436,4.417223930358887
1538661017.6522353,2453,4.079239368438721
1538661018.3615751,2455,4.352161407470703
1538661020.2066514,2460,3.9517064094543457
1538661029.5091357,2485,4.554232120513916
1538661029.857901,2486,5.086065292358398
1538661033.9024904,2496,4.122894287109375
1538661034.599413,2498,4.314605236053467
1538661036.6843455,2503,5.024591445922852
1538661042.0886755,2517,4.097649574279785
1538661044.3861573,2523,4.0429606437683105
1538661048.0202284,2532,4.3115129470825195
1538661053.6556056,2547,4.565276622772217
1538661055.982032,2553,4.439591884613037
1538661116.4923346,2685,4.022298812866211
1538661123.6134443,2703,3.9707536697387695
1538661138.2153995,2740,4.007656097412109
1538661144.1050105,2754,4.099845886230469
1538661158.020124,2789,3.764965057373047
1538661198.7870831,2896,4.428534030914307
1538661227.0201397,2967,3.9676482677459717
1538661230.0949807,2975,4.214608669281006
1538661244.0830638,3011,4.367788314819336
1538661254.3213294,3038,3.877732753753662
1538661255.367191,3041,4.030710697174072
1538661286.42203,3099,3.988670587539673
1538661310.2739842,3161,3.875424385070801
1538661323.018006,3195,4.100809574127197
1538661323.3841603,3196,4.126572132110596
1538661336.7417176,3230,4.049433708190918
1538661340.5935912,3240,4.028837203979492
1538661342.213898,3244,4.320235252380371
1538661343.083045,3246,3.932508707046509
1538661343.4711232,3247,4.203310012817383
1538661366.2455559,3305,3.8770971298217773
1538661381.7146807,3345,4.721336364746094
1538661393.3676608,3376,4.437887191772461
1538661404.778716,3403,4.245957851409912
1538661406.772267,3408,4.0125346183776855
1538661415.7249599,3430,4.153912544250488
1538661423.414578,3449,3.907254457473755
1538661429.0783107,3464,3.945605754852295
1538661435.6858299,3480,3.7651515007019043
1538661493.1563785,3600,4.014280796051025
1538661499.7901473,3618,4.151066303253174
1538661500.5158088,3620,3.8641507625579834
1538661515.2328217,3656,3.571599006652832
1538661520.7242813,3670,4.411956787109375
1538661544.1383076,3726,4.552727699279785
1538661545.6368632,3730,3.956157684326172
1538661549.9769218,3741,4.3507609367370605
1538661570.5517328,3793,4.401111125946045
1538661578.4039161,3814,4.25057315826416
1538661580.507223,3819,4.276232719421387
1538661581.3117466,3821,4.2230634689331055
1538661585.4405854,3831,4.123083114624023
1538661599.1797798,3864,4.260643005371094
1538661603.7181993,3876,4.090662479400635
1538661624.6076665,3928,4.127874851226807
1538661637.487569,3956,4.652685642242432
1538661654.381986,3984,4.1006855964660645
1538661670.446347,4022,4.625949382781982
1538661674.6701198,4033,4.061659812927246
1538661675.764349,4036,3.930900812149048
1538661696.9171157,4093,4.301936149597168
1538661698.565727,4098,4.248939514160156
1538661702.8537796,4109,4.166635513305664
1538661731.4669461,4182,3.7226901054382324
1538661735.9020288,4194,3.734532594680786
1538661736.6759517,4196,4.143914699554443
1538661738.5652766,4201,4.267550468444824
1538661738.9052277,4202,4.461952209472656
1538661748.5770628,4227,3.704650640487671
1538661750.3315864,4232,4.227911949157715
1538661751.4751863,4235,4.260810375213623
1538661762.206793,4263,4.14256477355957
1538661763.3021026,4266,3.923619508743286
1538661777.6946983,4304,4.20902681350708
1538661783.1250362,4317,4.095776081085205
1538661783.9022255,4319,3.855455160140991
1538661821.8429525,4400,4.000055313110352
1538661834.6418805,4433,4.433684349060059
1538661857.3869863,4492,3.580505847930908
1538661864.0615482,4509,3.92596173286438
1538661872.1606758,4530,4.876643180847168
1538661892.1701536,4578,4.429905891418457
1538661893.4295118,4581,3.880143404006958
1538661911.487082,4628,3.7851786613464355
1538661926.1867797,4664,3.9320125579833984
1538661927.5889444,4668,3.817049980163574
1538661930.873709,4676,3.8255858421325684
1538661945.5623248,4713,4.453433990478516
1538661947.553347,4718,3.9424960613250732
1538661960.3306777,4750,4.501832008361816
1538661963.5510795,4758,4.291932582855225
1538661975.6278787,4788,4.175029277801514
1538661980.180773,4800,3.883692979812622
1538661980.8604324,4802,4.250453948974609
1538662004.020047,4840,4.035408020019531
1538662008.8788972,4852,3.932065010070801
1538662025.2803395,4894,4.226297378540039
1538662052.578657,4962,3.6317126750946045
1538662056.2503734,4971,4.395339012145996
1538662057.2971175,4974,4.365762710571289
1538662088.1411645,5050,3.909381151199341
1538662089.1159263,5052,3.888007164001465
1538662089.4383247,5053,3.858325719833374
1538662110.3373566,5106,3.8245632648468018
1538662121.1932979,5134,3.6620142459869385
1538662148.9351325,5200,3.9732561111450195
1538662164.6520092,5239,4.73577880859375
1538662207.853869,5329,3.943350315093994
1538662213.8925538,5345,3.9391579627990723
1538662219.0487347,5359,4.308177471160889
1538662241.9710805,5420,3.891739845275879
1538662250.3732607,5442,4.017170429229736
1538662278.894158,5515,4.122170448303223
1538662279.6778853,5517,3.7169153690338135
1538662291.9729152,5549,3.948794364929199
1538662300.884298,5573,3.9861724376678467
1538662306.2727382,5587,4.196516990661621
1538662322.6016185,5630,3.77759051322937
1538662334.13443,5660,4.038288593292236
1538662335.614305,5664,4.497781753540039
1538662341.3345933,5679,4.06276798248291
1538662364.296529,5720,3.9256961345672607
1538662365.3951497,5723,4.001741886138916
1538662385.667141,5776,3.876185894012451
1538662398.0379376,5808,4.225643157958984
1538662404.3570266,5825,4.045884609222412
1538662405.4612958,5828,3.6775267124176025
1538662418.78289,5862,3.8362350463867188
1538662419.6360917,5864,4.1246514320373535
1538662422.2073498,5871,4.004954814910889
1538662435.8232055,5907,4.3050994873046875
1538662443.644031,5928,3.9311156272888184
1538662452.595653,5952,3.9989562034606934
1538662454.4564848,5957,3.636066436767578
1538662456.6958385,5963,4.575394153594971
1538662467.4527767,5990,3.79736065864563
1538662474.7873545,6010,3.6896255016326904
1538662476.6463842,6015,3.9101574420928955
1538662482.2460804,6030,3.973205089569092
1538662484.1275828,6035,4.228003978729248
1538662500.144212,6078,3.7926547527313232
1538662516.9302733,6121,4.28297758102417
1538662520.6771572,6131,4.1804118156433105
1538662547.1663063,6181,4.013916015625
1538662554.509874,6200,4.57431173324585
1538662559.3328376,6213,4.470083236694336
1538662561.5786705,6219,4.397635459899902
1538662566.433853,6232,4.290517807006836
1538662588.954017,6289,4.108840465545654
1538662598.291683,6312,3.581486463546753
1538662600.256715,6317,3.7481212615966797
1538662610.3266335,6341,4.772335529327393
1538662618.4092956,6363,4.185593605041504
1538662623.2864416,6376,4.247599124908447
