Wall time,Step,Value
1537394305.5615358,187943,3.811478853225708
1537394321.6514158,190338,2.411430835723877
1537394334.0223653,192215,3.2941973209381104
1537394355.3130114,195297,3.4702565670013428
1537394356.1115534,195400,1.9632246494293213
1537394357.7856708,195619,3.335803508758545
1537394365.5310767,196726,4.569350242614746
1537394387.30373,199287,2.728961229324341
1537394394.161936,200211,4.556414604187012
1537394402.6100802,201401,3.180650234222412
1537394434.397509,206110,2.2652394771575928
1537394444.0408044,207609,2.876403331756592
1537394451.577804,208748,4.457540512084961
1537394452.7710311,208934,2.725360155105591
1537394459.641079,209988,2.854673147201538
1537394461.0895917,210191,2.8953657150268555
1537394500.02929,215953,3.195589780807495
1537394500.5040941,216023,2.1960763931274414
1537394500.699299,216052,4.987360000610352
1537394512.8787248,217867,1.8155368566513062
1537394523.7595093,219514,3.3182427883148193
1537394526.084927,219861,4.713420391082764
1537394528.8770242,220265,2.810559034347534
1537394551.624346,223537,3.8582541942596436
1537394560.68506,224845,3.0616893768310547
1537394573.6241295,226247,2.081475257873535
1537394574.3080704,226345,2.5942320823669434
1537394574.3946385,226357,2.012843608856201
1537394582.206005,227411,3.0505709648132324
1537394595.9762049,229290,1.9719040393829346
1537394608.2040868,231023,4.2848219871521
1537394615.3998036,232060,2.2100906372070312
1537394636.4335449,234917,2.274831533432007
1537394638.6573536,235215,3.496346950531006
1537394657.2329617,238047,1.8898711204528809
1537394661.2948716,238615,3.2167739868164062
1537394666.190428,239338,5.45206356048584
1537394671.5314968,240094,3.1360177993774414
1537394681.3204627,241531,4.626436710357666
1537394682.0229468,241629,2.131371259689331
1537394685.1210363,242064,4.717162609100342
1537394687.119312,242341,5.013000011444092
1537394712.0231762,246050,3.5195095539093018
1537394722.571486,247507,2.9332523345947266
1537394732.8386695,248960,2.2771475315093994
1537394737.7371655,249676,4.329811096191406
1537394746.168568,250869,4.406496047973633
1537394749.261288,251319,3.826399326324463
1537394752.5342944,251796,2.7790286540985107
1537394754.372072,252066,3.7318954467773438
1537394767.0775769,253439,3.1847739219665527
1537394791.182139,256945,3.251868963241577
1537394800.0840611,258207,3.183285713195801
1537394801.1121492,258350,2.8457248210906982
1537394806.4605703,259111,2.4330365657806396
1537394819.2726448,260953,4.040318012237549
1537394830.309273,262512,1.9914627075195312
1537394830.8934927,262598,2.956541061401367
1537394842.585389,264212,1.8859533071517944
1537394852.545939,265601,3.372102737426758
1537394853.2588449,265694,3.6229019165039062
1537394868.7536879,267897,3.293797254562378
1537394874.296994,268687,3.765363931655884
1537394886.9881864,270593,2.9488365650177
1537394888.8261716,270861,2.3006975650787354
1537394890.1263936,271052,3.269963502883911
1537394902.564542,272938,1.845226764678955
1537394933.0967453,277439,4.039828777313232
1537394943.1330771,278879,4.29791784286499
1537394944.2584991,279048,2.718304395675659
1537394957.2064252,280904,4.988554000854492
1537394983.771471,284303,10.18021297454834
1537394987.7809098,284886,3.184988021850586
1537394992.1743383,285537,3.069833278656006
1537395018.4938126,289364,3.665494918823242
1537395028.518795,290816,2.048889636993408
1537395051.0459127,294001,2.79539155960083
1537395060.9946754,295408,2.0687994956970215
1537395062.215005,295573,2.9236161708831787
1537395071.3887486,296881,4.028855323791504
1537395087.415189,299168,2.801513433456421
1537395089.4086695,299485,2.116962194442749
1537395105.8652754,301829,4.375725746154785
1537395110.4440465,302494,2.6562907695770264
1537395122.0083585,304023,2.3710007667541504
1537395153.9370334,308411,3.784888505935669
1537395158.2847307,309009,5.111992835998535
1537395168.1631966,309916,4.23184061050415
1537395180.2399926,311639,3.4329464435577393
1537395188.1500278,312755,5.084697723388672
1537395198.110433,314291,2.3319780826568604
1537395203.8914165,315169,2.697441816329956
1537395223.2849,318006,2.624814510345459
1537395226.226322,318409,3.196948289871216
1537395229.1789472,318828,2.3752126693725586
1537395231.2156048,319111,3.562293291091919
1537395233.588096,319435,2.7022335529327393
1537395237.2238376,319941,3.3611693382263184
1537395246.627117,321383,3.2538771629333496
1537395253.5823362,322388,3.756763219833374
1537395258.4900653,323049,3.1453938484191895
1537395267.2593958,324304,2.3526203632354736
1537395270.0247848,324689,2.208052635192871
1537395272.8236756,325062,3.806600332260132
1537395308.5380511,330047,4.389949321746826
1537395310.3959012,330331,3.0903139114379883
1537395314.7397,330969,3.4571785926818848
1537395319.4554806,331638,3.1898655891418457
1537395321.6742432,331949,2.224426031112671
1537395330.9638066,333257,2.297499418258667
1537395339.3977354,334448,2.4469246864318848
1537395352.6840615,336392,2.133500099182129
1537395372.3839316,338708,2.444350242614746
1537395372.593855,338736,4.030040264129639
1537395373.710831,338890,1.9368643760681152
1537395402.1253147,343065,2.027578830718994
1537395412.428398,344503,3.967916488647461
1537395412.6542,344533,2.9001448154449463
1537395414.0610712,344721,3.949962615966797
1537395418.150246,345279,2.0664165019989014
1537395438.0339894,348184,3.8304033279418945
1537395445.8818142,349354,2.5760498046875
1537395469.948203,352628,3.49283766746521
1537395514.2118642,358807,3.8502471446990967
1537395518.3644605,359382,2.9194090366363525
1537395521.3786857,359790,3.505533456802368
1537395553.5313563,364334,4.4453935623168945
1537395557.0145392,364798,2.6838996410369873
1537395585.0581,368316,3.7171833515167236
1537395602.8518295,370837,3.699873924255371
1537395609.5307527,371727,3.0875535011291504
1537395629.7949524,374387,2.6130268573760986
1537395633.4853938,374855,2.3084285259246826
1537395635.048442,375051,3.2351536750793457
1537395638.6884813,375549,4.81022310256958
1537395669.1540074,379734,2.481545925140381
1537395669.8103912,379828,5.023854732513428
1537395673.6745846,380381,5.1510443687438965
1537395675.575769,380647,2.407536268234253
1537395691.6639273,382911,2.876862049102783
1537395710.3185678,385507,4.180394172668457
1537395715.7540429,386271,2.7900943756103516
1537395724.9623277,387646,2.3216183185577393
1537395727.393352,387982,3.189143180847168
1537395738.4151335,389615,4.033544063568115
1537395749.290485,391221,3.2355918884277344
1537395778.0746214,394913,3.0013091564178467
1537395782.9874136,395606,3.0448501110076904
1537395791.522934,396859,2.513136863708496
1537395795.8876462,397510,3.5196924209594727
1537395798.6403818,397935,2.563565731048584
1537395800.558424,398196,3.1171882152557373
1537395814.764377,400198,4.051717758178711
1537395834.3659458,403110,2.1837921142578125
1537395841.8997416,404201,1.9684334993362427
1537395852.652208,405847,2.1982922554016113
1537395864.1583264,407517,3.8522019386291504
1537395889.2790418,411257,3.4026312828063965
1537395894.8650522,412076,2.036452531814575
1537395905.234205,413610,3.1203620433807373
1537395914.4734385,415016,2.8146185874938965
1537395918.4162667,415636,2.4394760131835938
1537395921.59128,416105,2.263331174850464
1537395936.7173018,418311,2.090620756149292
1537395942.2842789,419187,2.295501947402954
1537395947.1412375,419868,2.6073951721191406
